Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_beatmet	faelle_covid_aktuell_beatmet_proz
2021-10-06	36	28	77.8	0	0.0	0	0
2021-02-16	38	32	84.2	3	7.9	1	33.3
2021-07-11	35	29	82.9	0	0.0	0	0
2020-06-05	49	32	65.3	0	0.0	0	0
2020-05-29	55	25	45.5	0	0.0	0	0
2021-10-24	37	31	83.8	0	0.0	0	0
2021-01-20	37	30	81.1	5	13.5	2	40.0
2021-03-01	38	32	84.2	1	2.6	0	0.0
2020-05-07	45	30	66.7	0	0.0	0	0
2020-05-06	44	26	59.1	0	0.0	0	0
2021-01-21	36	29	80.6	3	8.3	1	33.3
2020-10-25	43	28	65.1	2	4.7	0	0.0
2021-03-30	36	31	86.1	1	2.8	1	100.0
2021-06-17	34	32	94.1	0	0.0	0	0
2021-01-19	37	28	75.7	5	13.5	2	40.0
2020-08-11	54	36	66.7	0	0.0	0	0
2020-12-20	34	21	61.8	3	8.8	1	33.3
2020-09-09	52	32	61.5	0	0.0	0	0
2020-10-02	50	30	60.0	0	0.0	0	0
2020-06-16	49	30	61.2	0	0.0	0	0
2020-06-03	49	31	63.3	0	0.0	0	0
2020-06-02	49	34	69.4	1	2.0	0	0.0
2020-07-09	43	30	69.8	0	0.0	0	0
2020-09-05	52	33	63.5	0	0.0	0	0
2021-03-16	36	30	83.3	4	11.1	1	25.0
2021-09-25	36	25	69.4	0	0.0	0	0
2021-04-21	36	30	83.3	1	2.8	1	100.0
2020-12-13	34	29	85.3	4	11.8	0	0.0
2020-07-13	44	23	52.3	0	0.0	0	0
2020-09-04	52	35	67.3	0	0.0	0	0
2021-09-21	36	28	77.8	0	0.0	0	0
2020-12-19	33	24	72.7	2	6.1	1	50.0
2021-10-27	37	30	81.1	0	0.0	0	0
2020-09-13	52	26	50.0	0	0.0	0	0
2021-01-26	37	31	83.8	4	10.8	0	0.0
2020-07-16	45	31	68.9	0	0.0	0	0
2021-09-09	36	23	63.9	0	0.0	0	0
2020-12-24	31	24	77.4	3	9.7	0	0.0
2020-05-25	55	26	47.3	0	0.0	0	0
2020-04-28	41	18	43.9	2	4.9	1	50.0
2021-10-04	36	31	86.1	0	0.0	0	0
2021-01-05	36	27	75.0	5	13.9	0	0.0
2020-05-05	44	19	43.2	0	0.0	0	0
2021-04-23	36	30	83.3	2	5.6	1	50.0
2020-10-05	50	29	58.0	0	0.0	0	0
2020-10-14	50	33	66.0	2	4.0	0	0.0
2021-01-30	36	29	80.6	4	11.1	0	0.0
2020-10-21	45	35	77.8	1	2.2	0	0.0
2021-03-02	38	31	81.6	1	2.6	0	0.0
2020-10-11	50	36	72.0	0	0.0	0	0
2020-08-14	54	31	57.4	0	0.0	0	0
2020-10-17	50	32	64.0	1	2.0	0	0.0
2021-10-14	36	29	80.6	0	0.0	0	0
2020-05-31	55	25	45.5	0	0.0	0	0
2021-06-02	35	26	74.3	0	0.0	0	0
2021-09-24	36	26	72.2	0	0.0	0	0
2021-07-24	35	27	77.1	0	0.0	0	0
2021-04-22	35	30	85.7	2	5.7	1	50.0
2021-08-28	36	26	72.2	1	2.8	0	0.0
2021-03-22	36	32	88.9	3	8.3	1	33.3
2020-09-16	52	28	53.8	0	0.0	0	0
2021-02-04	37	28	75.7	6	16.2	4	66.7
2020-08-17	54	26	48.1	0	0.0	0	0
2020-08-12	54	31	57.4	0	0.0	0	0
2021-07-30	36	35	97.2	0	0.0	0	0
2021-04-16	36	29	80.6	1	2.8	1	100.0
2020-06-11	49	26	53.1	0	0.0	0	0
2020-07-26	46	25	54.3	0	0.0	0	0
2020-05-30	55	26	47.3	0	0.0	0	0
2020-09-28	52	31	59.6	0	0.0	0	0
2021-09-08	36	26	72.2	0	0.0	0	0
2021-11-05	50	20	40.0	4	8.0	1	25.0
2021-11-05	43	19	44.2	4	9.3	1	25.0
2021-11-05	43	19	44.2	4	9.3	1	25.0
2021-11-05	41	18	43.9	2	4.9	1	50.0
2021-11-05	41	19	46.3	2	4.9	1	50.0
2021-11-05	44	18	40.9	2	4.5	2	100.0
2021-11-05	42	18	42.9	2	4.8	0	0.0
