Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_beatmet	faelle_covid_aktuell_beatmet_proz
2021-10-06	70	48	68.6	8	11.4	4	50.0
2021-02-16	61	45	73.8	2	3.3	2	100.0
2021-07-11	55	44	80.0	1	1.8	1	100.0
2020-06-05	109	49	45.0	3	2.8	0	0.0
2020-05-29	109	45	41.3	9	8.3	2	22.2
2021-10-24	64	52	81.2	6	9.4	1	16.7
2021-01-20	61	57	93.4	10	16.4	6	60.0
2021-03-01	61	54	88.5	3	4.9	2	66.7
2020-05-07	108	40	37.0	7	6.5	4	57.1
2020-05-06	108	42	38.9	8	7.4	6	75.0
2021-01-21	61	56	91.8	12	19.7	7	58.3
2020-10-25	61	47	77.0	7	11.5	5	71.4
2021-03-30	61	54	88.5	9	14.8	5	55.6
2021-06-17	55	43	78.2	4	7.3	4	100.0
2021-01-19	61	57	93.4	11	18.0	8	72.7
2020-08-11	61	47	77.0	2	3.3	1	50.0
2020-12-20	65	53	81.5	18	27.7	6	33.3
2020-09-09	61	43	70.5	1	1.6	0	0.0
2020-10-02	61	41	67.2	1	1.6	0	0.0
2020-06-16	107	50	46.7	6	5.6	3	50.0
2020-06-03	109	41	37.6	3	2.8	1	33.3
2020-06-02	109	50	45.9	6	5.5	1	16.7
2020-07-09	109	41	37.6	2	1.8	1	50.0
2020-09-05	61	43	70.5	0	0.0	0	0
2021-03-16	61	53	86.9	4	6.6	1	25.0
2021-09-25	70	55	78.6	9	12.9	5	55.6
2021-04-21	61	52	85.2	23	37.7	12	52.2
2020-12-13	65	51	78.5	21	32.3	6	28.6
2020-07-13	109	45	41.3	2	1.8	1	50.0
2020-09-04	61	46	75.4	1	1.6	0	0.0
2021-09-21	70	45	64.3	8	11.4	6	75.0
2020-12-19	65	53	81.5	19	29.2	6	31.6
2021-10-27	64	48	75.0	5	7.8	2	40.0
2020-09-13	61	41	67.2	1	1.6	0	0.0
2021-01-26	61	53	86.9	8	13.1	2	25.0
2020-07-16	109	44	40.4	2	1.8	1	50.0
2021-09-09	70	52	74.3	9	12.9	5	55.6
2020-12-24	63	51	81.0	20	31.7	8	40.0
2020-05-25	109	43	39.4	10	9.2	1	10.0
2020-04-28	109	46	42.2	6	5.5	4	66.7
2021-10-04	70	47	67.1	6	8.6	3	50.0
2021-01-05	67	56	83.6	19	28.4	13	68.4
2020-05-05	108	39	36.1	8	7.4	5	62.5
2021-04-23	61	48	78.7	20	32.8	15	75.0
