Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_beatmet	faelle_covid_aktuell_beatmet_proz
2021-10-06	108	101	93.5	2	1.9	0	0.0
2021-02-16	129	117	90.7	17	13.2	10	58.8
2021-07-11	118	100	84.7	4	3.4	4	100.0
2020-06-05	115	85	73.9	0	0.0	0	0
2020-05-29	115	83	72.2	1	0.9	0	0.0
2021-10-24	102	92	90.2	4	3.9	2	50.0
2021-01-20	138	126	91.3	32	23.2	22	68.8
2021-03-01	131	115	87.8	17	13.0	9	52.9
2020-05-07	121	92	76.0	5	4.1	4	80.0
2020-05-06	121	94	77.7	5	4.1	4	80.0
2021-01-21	138	124	89.9	30	21.7	20	66.7
2020-10-25	122	105	86.1	4	3.3	2	50.0
2021-03-30	129	123	95.3	20	15.5	10	50.0
2021-06-17	123	121	98.4	9	7.3	8	88.9
2021-01-19	137	130	94.9	31	22.6	19	61.3
2020-08-11	133	123	92.5	0	0.0	0	0
2020-12-20	120	107	89.2	19	15.8	11	57.9
2020-09-09	139	120	86.3	0	0.0	0	0
2020-10-02	130	115	88.5	3	2.3	1	33.3
2020-06-16	115	93	80.9	1	0.9	1	100.0
2020-06-03	115	85	73.9	0	0.0	0	0
2020-06-02	115	83	72.2	1	0.9	0	0.0
2020-07-09	121	102	84.3	1	0.8	1	100.0
2020-09-05	134	123	91.8	0	0.0	0	0
2021-03-16	126	110	87.3	12	9.5	9	75.0
2021-09-25	112	103	92.0	2	1.8	1	50.0
2021-04-21	125	102	81.6	25	20.0	13	52.0
2020-12-13	119	100	84.0	12	10.1	6	50.0
2020-07-13	121	100	82.6	1	0.8	1	100.0
2020-09-04	134	116	86.6	0	0.0	0	0
2021-09-21	113	98	86.7	2	1.8	1	50.0
2020-12-19	120	107	89.2	18	15.0	11	61.1
2021-10-27	106	98	92.5	5	4.7	2	40.0
2020-09-13	139	121	87.1	1	0.7	0	0.0
2021-01-26	137	131	95.6	32	23.4	21	65.6
2020-07-16	121	103	85.1	1	0.8	1	100.0
2021-09-09	110	103	93.6	1	0.9	1	100.0
2020-12-24	128	111	86.7	18	14.1	12	66.7
2020-05-25	115	89	77.4	3	2.6	1	33.3
2020-04-28	117	93	79.5	5	4.3	3	60.0
2021-10-04	107	96	89.7	1	0.9	0	0.0
2021-01-05	131	123	93.9	29	22.1	22	75.9
2020-05-05	111	84	75.7	4	3.6	3	75.0
2021-11-10	110	81	73.6	4	3.6	2	50.0
2021-11-10	110	81	73.6	5	4.5	2	40.0
2021-11-10	110	81	73.6	5	4.5	3	60.0
2021-11-10	111	91	82.0	5	4.5	3	60.0
2021-11-10	113	95	84.1	5	4.4	3	60.0
2021-11-10	112	91	81.2	5	4.5	3	60.0
2021-11-10	112	86	76.8	3	2.7	2	66.7
2021-11-10	106	93	87.7	3	2.8	2	66.7
2021-11-10	103	89	86.4	3	2.9	2	66.7
2021-11-10	103	89	86.4	3	2.9	2	66.7
2021-11-10	112	87	77.7	4	3.6	3	75.0
2021-11-10	115	92	80.0	5	4.3	4	80.0
2021-11-10	115	90	78.3	5	4.3	4	80.0
2021-11-10	115	93	80.9	5	4.3	5	100.0
2021-11-10	115	94	81.7	5	4.3	5	100.0
2021-11-10	115	95	82.6	5	4.3	5	100.0
2021-11-10	115	95	82.6	5	4.3	5	100.0
2021-11-10	115	93	80.9	4	3.5	4	100.0
2021-11-10	109	90	82.6	4	3.7	4	100.0
2021-11-10	109	95	87.2	3	2.8	3	100.0
2021-11-10	109	90	82.6	4	3.7	3	75.0
2021-11-10	115	96	83.5	3	2.6	2	66.7
2021-11-10	115	98	85.2	3	2.6	2	66.7
2021-11-10	115	92	80.0	3	2.6	2	66.7
2021-11-10	115	92	80.0	4	3.5	2	50.0
2021-11-10	115	92	80.0	5	4.3	1	20.0
2021-11-10	115	97	84.3	4	3.5	1	25.0
2021-11-10	115	97	84.3	4	3.5	1	25.0
2021-11-10	115	92	80.0	4	3.5	1	25.0
2021-11-10	115	85	73.9	4	3.5	1	25.0
2021-11-10	115	83	72.2	3	2.6	1	33.3
2021-11-10	109	89	81.7	3	2.8	1	33.3
2021-11-10	109	87	79.8	4	3.7	2	50.0
2021-11-10	109	89	81.7	3	2.8	2	66.7
2021-11-10	109	87	79.8	2	1.8	1	50.0
2021-11-10	109	83	76.1	1	0.9	0	0.0
2021-11-10	109	83	76.1	1	0.9	0	0.0
2021-11-10	109	83	76.1	1	0.9	0	0.0
2021-11-10	109	85	78.0	1	0.9	0	0.0
2021-11-10	109	83	76.1	1	0.9	0	0.0
2021-11-10	109	85	78.0	0	0.0	0	0
2021-11-10	109	86	78.9	0	0.0	0	0
2021-11-10	109	84	77.1	0	0.0	0	0
2021-11-10	109	87	79.8	0	0.0	0	0
2021-11-10	109	96	88.1	0	0.0	0	0
2021-11-10	109	90	82.6	0	0.0	0	0
2021-11-10	109	88	80.7	1	0.9	1	100.0
2021-11-10	109	80	73.4	1	0.9	1	100.0
2021-11-10	109	80	73.4	1	0.9	1	100.0
2021-11-10	109	91	83.5	1	0.9	1	100.0
2021-11-10	109	93	85.3	1	0.9	1	100.0
2021-11-10	109	95	87.2	1	0.9	1	100.0
2021-11-10	109	94	86.2	1	0.9	1	100.0
2021-11-10	109	92	84.4	1	0.9	1	100.0
2021-11-10	109	97	89.0	1	0.9	1	100.0
2021-11-10	109	93	85.3	1	0.9	1	100.0
2021-11-10	109	88	80.7	1	0.9	1	100.0
