Landkreis	Bundesland	Population	Cases	Deaths	Cases_Per_Million	Deaths_Per_Million	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	DoublingTime_Cases_Last_Week_Per_100000
Kempten (Allgäu) (Kreisfreie Stadt)	Bayern	68940	7624	67	110588	971	10.5	76.3	26.4
Memmingen (Kreisfreie Stadt)	Bayern	44360	5027	30	113322	676	28.6	92.9	
Aichach-Friedberg (Landkreis)	Bayern	135024	11830	129	87614	955	28.6	100.0	7.5
Augsburg (Landkreis)	Bayern	255900	24544	344	95912	1344	25.0	66.7	16.5
Dillingen a.d. Donau (Landkreis)	Bayern	97172	9943	173	102323	1780	14.3	71.4	
Günzburg (Landkreis)	Bayern	127342	15456	164	121373	1287	15.4	76.9	33.8
Neu-Ulm (Landkreis)	Bayern	175823	17321	188	98513	1069	34.8	91.3	9.7
Lindau (Bodensee) (Landkreis)	Bayern	82085	7590	73	92465	889	8.3	58.3	13.9
Ostallgäu (Landkreis)	Bayern	141907	17379	208	122467	1465	28.6	92.9	26.8
Unterallgäu (Landkreis)	Bayern	146164	18435	229	126125	1566	6.7	73.3	
Donau-Ries (Landkreis)	Bayern	134324	14471	216	107732	1608	18.5	96.3	16.6
Oberallgäu (Landkreis)	Bayern	156308	16206	141	103679	902	8.3	41.7	29.3
